#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	#ff0000	70	ERBB2	9606.ENSP00000269571	Receptor tyrosine-protein kinase erbB-2; Protein tyrosine kinase that is part of several cell surface receptor complexes, but that apparently needs a coreceptor for ligand binding. Essential component of a neuregulin-receptor complex, although neuregulins do not interact with it alone. GP30 is a potential ligand for this receptor. Regulates outgrowth and stabilization of peripheral microtubules (MTs). Upon ERBB2 activation, the MEMO1-RHOA-DIAPH1 signaling pathway elicits the phosphorylation and thus the inhibition of GSK3B at cell membrane. This prevents the phosphorylation of APC and  [...] 
kmeans	1	Red	#ff0000	70	ERBIN	9606.ENSP00000426632	Erbin; Acts as an adapter for the receptor ERBB2, in epithelia. By binding the unphosphorylated 'Tyr-1248' of receptor ERBB2, it may contribute to stabilize this unphosphorylated state. Inhibits NOD2-dependent NF-kappa-B signaling and proinflammatory cytokine secretion ; Belongs to the LAP (LRR and PDZ) protein family.
kmeans	1	Red	#ff0000	70	F2R	9606.ENSP00000321326	Proteinase-activated receptor 1; High affinity receptor for activated thrombin coupled to G proteins that stimulate phosphoinositide hydrolysis. May play a role in platelets activation and in vascular development.
kmeans	1	Red	#ff0000	70	FAP	9606.ENSP00000188790	Antiplasmin-cleaving enzyme FAP, soluble form; Cell surface glycoprotein serine protease that participates in extracellular matrix degradation and involved in many cellular processes including tissue remodeling, fibrosis, wound healing, inflammation and tumor growth. Both plasma membrane and soluble forms exhibit post-proline cleaving endopeptidase activity, with a marked preference for Ala/Ser-Gly-Pro-Ser/Asn/Ala consensus sequences, on substrate such as alpha-2-antiplasmin SERPINF2 and SPRY2. Degrade also gelatin, heat-denatured type I collagen, but not native collagen type I and IV, [...] 
kmeans	1	Red	#ff0000	70	FCER2	9606.ENSP00000264072	Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low-affinity receptor for immunoglobulin E (IgE) and CR2/CD21. Has essential roles in the regulation of IgE production and in the differentiation of B-cells (it is a B-cell-specific antigen).
kmeans	1	Red	#ff0000	70	FGF21	9606.ENSP00000471477	Fibroblast growth factor 21; Stimulates glucose uptake in differentiated adipocytes via the induction of glucose transporter SLC2A1/GLUT1 expression (but not SLC2A4/GLUT4 expression). Activity requires the presence of KLB. Belongs to the heparin-binding growth factors family.
kmeans	1	Red	#ff0000	70	FKBP5	9606.ENSP00000444810	Peptidyl-prolyl cis-trans isomerase FKBP5; Immunophilin protein with PPIase and co-chaperone activities. Component of unligated steroid receptors heterocomplexes through interaction with heat-shock protein 90 (HSP90). Plays a role in the intracellular trafficking of heterooligomeric forms of steroid hormone receptors maintaining the complex into the cytoplasm when unliganded. Acts as a regulator of Akt/AKT1 activity by promoting the interaction between Akt/AKT1 and PHLPP1, thereby enhancing dephosphorylation and subsequent activation of Akt/AKT1.
kmeans	1	Red	#ff0000	70	GDF15	9606.ENSP00000252809	Growth/differentiation factor 15; Regulates food intake, energy expenditure and body weight in response to metabolic and toxin-induced stresses. Binds to its receptor, GFRAL, and activates GFRAL- expressing neurons localized in the area postrema and nucleus tractus solitarius of the brainstem. It then triggers the activation of neurons localized within the parabrachial nucleus and central amygdala, which contitutes part of the 'emergency circuit' that shapes feeding responses to stressful conditions. On hepatocytes, inhibits growth hormone signaling (By similarity).
kmeans	1	Red	#ff0000	70	GP6	9606.ENSP00000308782	Platelet glycoprotein VI; Collagen receptor involved in collagen-induced platelet adhesion and activation. Plays a key role in platelet procoagulant activity and subsequent thrombin and fibrin formation. This procoagulant function may contribute to arterial and venous thrombus formation. The signaling pathway involves the FcR gamma-chain, the Src kinases (likely FYN or LYN) and SYK, the adapter protein LAT and leads to the activation of PLCG2.
kmeans	1	Red	#ff0000	70	GRAP2	9606.ENSP00000339186	GRB2-related adapter protein 2; Interacts with SLP-76 to regulate NF-AT activation. Binds to tyrosine-phosphorylated shc.
kmeans	1	Red	#ff0000	70	HCLS1	9606.ENSP00000320176	Hematopoietic lineage cell-specific protein; Substrate of the antigen receptor-coupled tyrosine kinase. Plays a role in antigen receptor signaling for both clonal expansion and deletion in lymphoid cells. May also be involved in the regulation of gene expression.
kmeans	1	Red	#ff0000	70	HGS	9606.ENSP00000331201	Hepatocyte growth factor-regulated tyrosine kinase substrate; Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin- coated regions. Involved in down-regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (E [...] 
kmeans	1	Red	#ff0000	70	HPCAL1	9606.ENSP00000483786	Hippocalcin-like protein 1; May be involved in the calcium-dependent regulation of rhodopsin phosphorylation; Belongs to the recoverin family.
kmeans	1	Red	#ff0000	70	HYAL1	9606.ENSP00000266031	Hyaluronidase-1; May have a role in promoting tumor progression. May block the TGFB1-enhanced cell growth; Belongs to the glycosyl hydrolase 56 family.
kmeans	1	Red	#ff0000	70	ICOSLG	9606.ENSP00000339477	Ig-like domain-containing protein; Inducible T cell costimulator ligand.
kmeans	1	Red	#ff0000	70	IL19	9606.ENSP00000499459	Interleukin-19; May play some important roles in inflammatory responses. Up- regulates IL-6 and TNF-alpha and induces apoptosis (By similarity).
kmeans	1	Red	#ff0000	70	IL32	9606.ENSP00000431775	Interleukin-32; Cytokine that may play a role in innate and adaptive immune responses. It induces various cytokines such as TNFA/TNF-alpha and IL8. It activates typical cytokine signal pathways of NF-kappa-B and p38 MAPK.
kmeans	1	Red	#ff0000	70	IL7	9606.ENSP00000263851	Interleukin-7; Hematopoietic growth factor capable of stimulating the proliferation of lymphoid progenitors. It is important for proliferation during certain stages of B-cell maturation.
kmeans	1	Red	#ff0000	70	ITGA11	9606.ENSP00000327290	Integrin alpha-11; Integrin alpha-11/beta-1 is a receptor for collagen.
kmeans	1	Red	#ff0000	70	ITGAM	9606.ENSP00000496959	Integrin alpha-M; Integrin ITGAM/ITGB2 is implicated in various adhesive interactions of monocytes, macrophages and granulocytes as well as in mediating the uptake of complement-coated particles and pathogens. It is identical with CR-3, the receptor for the iC3b fragment of the third complement component. It probably recognizes the R-G-D peptide in C3b. Integrin ITGAM/ITGB2 is also a receptor for fibrinogen, factor X and ICAM1. It recognizes P1 and P2 peptides of fibrinogen gamma chain. Regulates neutrophil migration. In association with beta subunit ITGB2/CD18, required for CD177-PRTN [...] 
kmeans	1	Red	#ff0000	70	KIT	9606.ENSP00000288135	Mast/stem cell growth factor receptor Kit; Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Activat [...] 
kmeans	1	Red	#ff0000	70	KITLG	9606.ENSP00000495951	Soluble KIT ligand; Ligand for the receptor-type protein-tyrosine kinase KIT. Plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. KITLG/SCF binding can activate several signaling pathways. Promotes phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, and subsequent activation of the kinase AKT1. KITLG/SCF and KIT also transmit signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or M [...] 
kmeans	1	Red	#ff0000	70	LAMP3	9606.ENSP00000265598	Lysosome-associated membrane glycoprotein 3; May play a role in dendritic cell function and in adaptive immunity.
kmeans	1	Red	#ff0000	70	LAT	9606.ENSP00000378845	Linker for activation of T-cells family member 1; Required for TCR (T-cell antigen receptor)- and pre-TCR- mediated signaling, both in mature T-cells and during their development. Involved in FCGR3 (low affinity immunoglobulin gamma Fc region receptor III)-mediated signaling in natural killer cells and FCER1 (high affinity immunoglobulin epsilon receptor)-mediated signaling in mast cells. Couples activation of these receptors and their associated kinases with distal intracellular events such as mobilization of intracellular calcium stores, PKC activation, MAPK activation or cytoskeleta [...] 
kmeans	1	Red	#ff0000	70	MAP4K5	9606.ENSP00000013125	Mitogen-activated protein kinase kinase kinase kinase 5; May play a role in the response to environmental stress. Appears to act upstream of the JUN N-terminal pathway. Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily.
kmeans	1	Red	#ff0000	70	MEP1B	9606.ENSP00000269202	Meprin A subunit beta; Membrane metallopeptidase that sheds many membrane-bound proteins. Exhibits a strong preference for acidic amino acids at the P1' position. Known substrates include: FGF19, VGFA, IL1B, IL18, procollagen I and III, E-cadherin, KLK7, gastrin, ADAM10, tenascin-C. The presence of several pro-inflammatory cytokine among substrates implicate MEP1B in inflammation. It is also involved in tissue remodeling due to its capability to degrade extracellular matrix components.
kmeans	1	Red	#ff0000	70	MET	9606.ENSP00000317272	Hepatocyte growth factor receptor; Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to hepatocyte growth factor/HGF ligand. Regulates many physiological processes including proliferation, scattering, morphogenesis and survival. Ligand binding at the cell surface induces autophosphorylation of MET on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with the PI3-kinase subunit PIK3R1, PLCG1, SRC, GRB2, STAT3 or the adapter GAB1. Recruitment of thes [...] 
kmeans	1	Red	#ff0000	70	MGLL	9606.ENSP00000265052	Monoglyceride lipase; Converts monoacylglycerides to free fatty acids and glycerol. Hydrolyzes the endocannabinoid 2- arachidonoylglycerol, and thereby contributes to the regulation of endocannabinoid signaling, nociperception and perception of pain. Regulates the levels of fatty acids that serve as signaling molecules and promote cancer cell migration, invasion and tumor growth. Belongs to the AB hydrolase superfamily. Monoacylglycerol lipase family.
kmeans	1	Red	#ff0000	70	MOG	9606.ENSP00000366091	Myelin-oligodendrocyte glycoprotein; Mediates homophilic cell-cell adhesion (By similarity). Minor component of the myelin sheath. May be involved in completion and/or maintenance of the myelin sheath and in cell-cell communication. Belongs to the immunoglobulin superfamily. BTN/MOG family.
kmeans	1	Red	#ff0000	70	MPIG6B	9606.ENSP00000497720	Megakaryocyte and platelet inhibitory receptor G6b; Inhibitory receptor that acts as a critical regulator of hematopoietic lineage differentiation, megakaryocyte function and platelet production. Inhibits platelet aggregation and activation by agonists such as ADP and collagen-related peptide. This regulation of megakaryocate function as well as platelet production ann activation is done through the inhibition (via the 2 ITIM motifs) of the receptors CLEC1B and GP6:FcRgamma signaling. Appears to operate in a calcium-independent manner.
kmeans	1	Red	#ff0000	70	NCK2	9606.ENSP00000233154	Cytoplasmic protein NCK2; Adapter protein which associates with tyrosine-phosphorylated growth factor receptors or their cellular substrates. Maintains low levels of EIF2S1 phosphorylation by promoting its dephosphorylation by PP1. Plays a role in ELK1-dependent transcriptional activation in response to activated Ras signaling.
kmeans	1	Red	#ff0000	70	NTF3	9606.ENSP00000397297	Neurotrophin-3; Seems to promote the survival of visceral and proprioceptive sensory neurons; Belongs to the NGF-beta family.
kmeans	1	Red	#ff0000	70	NTRK2	9606.ENSP00000277120	BDNF/NT-3 growth factors receptor; Receptor tyrosine kinase involved in the development and the maturation of the central and the peripheral nervous systems through regulation of neuron survival, proliferation, migration, differentiation, and synapse formation and plasticity (By similarity). Receptor for BDNF/brain-derived neurotrophic factor and NTF4/neurotrophin-4. Alternatively can also bind NTF3/neurotrophin-3 which is less efficient in activating the receptor but regulates neuron survival through NTRK2. Upon ligand- binding, undergoes homodimerization, autophosphorylation and acti [...] 
kmeans	1	Red	#ff0000	70	PAK4	9606.ENSP00000469413	Serine/threonine-protein kinase PAK 4; Serine/threonine protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton regulation, cell migration, growth, proliferation or cell survival. Activation by various effectors including growth factor receptors or active CDC42 and RAC1 results in a conformational change and a subsequent autophosphorylation on several serine and/or threonine residues. Phosphorylates and inactivates the protein phosphatase SSH1, leading to increased inhibitory phosphorylation of the actin binding/depolymerizing factor cofilin [...] 
kmeans	1	Red	#ff0000	70	PCSK9	9606.ENSP00000303208	Proprotein convertase subtilisin/kexin type 9; Crucial player in the regulation of plasma cholesterol homeostasis. Binds to low-density lipid receptor family members: low density lipoprotein receptor (LDLR), very low density lipoprotein receptor (VLDLR), apolipoprotein E receptor (LRP1/APOER) and apolipoprotein receptor 2 (LRP8/APOER2), and promotes their degradation in intracellular acidic compartments. Acts via a non- proteolytic mechanism to enhance the degradation of the hepatic LDLR through a clathrin LDLRAP1/ARH-mediated pathway. May prevent the recycling of LDLR from endosomes t [...] 
kmeans	1	Red	#ff0000	70	PDGFC	9606.ENSP00000422464	Platelet-derived growth factor C, receptor-binding form; Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen and chemoattractant for cells of mesenchymal origin. Required for normal skeleton formation during embryonic development, especially for normal development of the craniofacial skeleton and for normal development of the palate. Required for normal skin morphogenesis during embryonic development. Plays an important role in wound healing, where it appears to be involved in [...] 
kmeans	1	Red	#ff0000	70	PI3	9606.ENSP00000243924	Elafin; Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1).
kmeans	1	Red	#ff0000	70	PLA2G15	9606.ENSP00000219345	Group XV phospholipase A2; Has transacylase and calcium-independent phospholipase A2 activity. Catalyzes the formation of 1-O-acyl-N-acetylsphingosine and the concomitant release of a lyso- phospholipid. Has high activity with 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine (POPC) and 1,2- dioleoyl-sn-glycero-3-phosphocholine (DOPC), catalyzing the transfer of oleic acid to N-acetyl-sphingosine. Required for normal phospholipid degradation in alveolar and peritoneal macrophages and in spleen (By similarity). May have weak lysophospholipase activity.
kmeans	1	Red	#ff0000	70	PLA2G4A	9606.ENSP00000356436	Cytosolic phospholipase A2; Selectively hydrolyzes arachidonyl phospholipids in the sn-2 position releasing arachidonic acid. Together with its lysophospholipid activity, it is implicated in the initiation of the inflammatory response.
kmeans	1	Red	#ff0000	70	PTS	9606.ENSP00000280362	6-pyruvoyl tetrahydrobiopterin synthase; Involved in the biosynthesis of tetrahydrobiopterin, an essential cofactor of aromatic amino acid hydroxylases. Catalyzes the transformation of 7,8-dihydroneopterin triphosphate into 6-pyruvoyl tetrahydropterin; Belongs to the PTPS family.
kmeans	1	Red	#ff0000	70	RARRES2	9606.ENSP00000418009	Retinoic acid receptor responder protein 2; Adipocyte-secreted protein (adipokine) that regulates adipogenesis, metabolism and inflammation through activation of the chemokine-like receptor 1 (CMKLR1). Its other ligands include G protein-coupled receptor 1 (GPR1) and chemokine receptor-like 2 (CCRL2). Positively regulates adipocyte differentiation, modulates the expression of adipocyte genes involved in lipid and glucose metabolism and might play a role in angiogenesis, a process essential for the expansion of white adipose tissue. Also acts as a proinflammatory adipokine, causing an i [...] 
kmeans	1	Red	#ff0000	70	RNASE3	9606.ENSP00000302324	Eosinophil cationic protein; Cytotoxin and helminthotoxin with low-efficiency ribonuclease activity. Possesses a wide variety of biological activities. Exhibits antibacterial activity, including cytoplasmic membrane depolarization of preferentially Gram-negative, but also Gram-positive strains. Promotes E.coli outer membrane detachment, alteration of the overall cell shape and partial loss of cell content.
kmeans	1	Red	#ff0000	70	ROBO1	9606.ENSP00000420321	Roundabout homolog 1; Receptor for SLIT1 and SLIT2 that mediates cellular responses to molecular guidance cues in cellular migration, including axonal navigation at the ventral midline of the neural tube and projection of axons to different regions during neuronal development. Interaction with the intracellular domain of FLRT3 mediates axon attraction towards cells expressing NTN1. In axon growth cones, the silencing of the attractive effect of NTN1 by SLIT2 may require the formation of a ROBO1-DCC complex (By similarity). Plays a role in the regulation of cell migration via its intera [...] 
kmeans	1	Red	#ff0000	70	SERPINB1	9606.ENSP00000370115	Leukocyte elastase inhibitor; Neutrophil serine protease inhibitor that plays an essential role in the regulation of the innate immune response, inflammation and cellular homeostasis. Acts primarily to protect the cell from proteases released in the cytoplasm during stress or infection. These proteases are important in killing microbes but when released from granules, these potent enzymes also destroy host proteins and contribute to mortality. Regulates the activity of the neutrophil proteases elastase, cathepsin G, proteinase-3, chymase, chymotrypsin, and kallikrein-3. Acts also as a  [...] 
kmeans	1	Red	#ff0000	70	SH2B3	9606.ENSP00000345492	SH2B adapter protein 3; Links T-cell receptor activation signal to phospholipase C- gamma-1, GRB2 and phosphatidylinositol 3-kinase.
kmeans	1	Red	#ff0000	70	SIAE	9606.ENSP00000263593	Sialate O-acetylesterase; Catalyzes the removal of O-acetyl ester groups from position 9 of the parent sialic acid, N-acetylneuraminic acid.
kmeans	1	Red	#ff0000	70	SIGLEC1	9606.ENSP00000341141	Sialoadhesin; Acts as an endocytic receptor mediating clathrin dependent endocytosis. Macrophage-restricted adhesion molecule that mediates sialic-acid dependent binding to lymphocytes, including granulocytes, monocytes, natural killer cells, B-cells and CD8 T-cells. Preferentially binds to alpha-2,3-linked sialic acid (By similarity). Binds to SPN/CD43 on T-cells (By similarity). May play a role in hemopoiesis.
kmeans	1	Red	#ff0000	70	SNAP23	9606.ENSP00000249647	Synaptosomal-associated protein 23; Essential component of the high affinity receptor for the general membrane fusion machinery and an important regulator of transport vesicle docking and fusion; Belongs to the SNAP-25 family.
kmeans	1	Red	#ff0000	70	SORD	9606.ENSP00000267814	Sorbitol dehydrogenase; Polyol dehydrogenase that catalyzes the reversible NAD(+)- dependent oxidation of various sugar alcohols. Is mostly active with D- sorbitol (D-glucitol), L-threitol, xylitol and ribitol as substrates, leading to the C2-oxidized products D-fructose, L-erythrulose, D- xylulose, and D-ribulose, respectively. Is a key enzyme in the polyol pathway that interconverts glucose and fructose via sorbitol, which constitutes an important alternate route for glucose metabolism. The polyol pathway is believed to be involved in the etiology of diabetic complications, such as d [...] 
kmeans	1	Red	#ff0000	70	STAT5B	9606.ENSP00000293328	Signal transducer and activator of transcription 5B; Carries out a dual function: signal transduction and activation of transcription. Mediates cellular responses to the cytokine KITLG/SCF and other growth factors. Binds to the GAS element and activates PRL-induced transcription. Positively regulates hematopoietic/erythroid differentiation.
kmeans	1	Red	#ff0000	70	TGFA	9606.ENSP00000404131	Protransforming growth factor alpha; TGF alpha is a mitogenic polypeptide that is able to bind to the EGF receptor/EGFR and to act synergistically with TGF beta to promote anchorage-independent cell proliferation in soft agar.
kmeans	1	Red	#ff0000	70	THY1	9606.ENSP00000284240	Thy-1 membrane glycoprotein; May play a role in cell-cell or cell-ligand interactions during synaptogenesis and other events in the brain.
kmeans	1	Red	#ff0000	70	TXLNA	9606.ENSP00000362711	Alpha-taxilin; May be involved in intracellular vesicle traffic and potentially in calcium-dependent exocytosis in neuroendocrine cells; Belongs to the taxilin family.
kmeans	1	Red	#ff0000	70	WFDC2	9606.ENSP00000361761	WAP four-disulfide core domain protein 2; Broad range protease inhibitor.
kmeans	1	Red	#ff0000	70	YES1	9606.ENSP00000462468	Tyrosine-protein kinase Yes; Non-receptor protein tyrosine kinase that is involved in the regulation of cell growth and survival, apoptosis, cell-cell adhesion, cytoskeleton remodeling, and differentiation. Stimulation by receptor tyrosine kinases (RTKs) including EGRF, PDGFR, CSF1R and FGFR leads to recruitment of YES1 to the phosphorylated receptor, and activation and phosphorylation of downstream substrates. Upon EGFR activation, promotes the phosphorylation of PARD3 to favor epithelial tight junction assembly. Participates in the phosphorylation of specific junctional components su [...] 
kmeans	2	Brown	#ffaf65	29	ADAMTS8	9606.ENSP00000257359	A disintegrin and metalloproteinase with thrombospondin motifs 8; Has anti-angiogenic properties.
kmeans	2	Brown	#ffaf65	29	AMBP	9606.ENSP00000265132	Inter-alpha-trypsin inhibitor light chain; Inter-alpha-trypsin inhibitor inhibits trypsin, plasmin, and lysosomal granulocytic elastase. Inhibits calcium oxalate crystallization; In the N-terminal section; belongs to the calycin superfamily. Lipocalin family.
kmeans	2	Brown	#ffaf65	29	APLP1	9606.ENSP00000221891	Amyloid-like protein 1; May play a role in postsynaptic function. The C-terminal gamma-secretase processed fragment, ALID1, activates transcription activation through APBB1 (Fe65) binding (By similarity). Couples to JIP signal transduction through C-terminal binding. May interact with cellular G-protein signaling pathways. Can regulate neurite outgrowth through binding to components of the extracellular matrix such as heparin and collagen I; Belongs to the APP family.
kmeans	2	Brown	#ffaf65	29	B4GAT1	9606.ENSP00000309096	Beta-1,4-glucuronyltransferase 1; Beta-1,4-glucuronyltransferase involved in O-mannosylation of alpha-dystroglycan (DAG1). Transfers a glucuronic acid (GlcA) residue onto a xylose (Xyl) acceptor to produce the glucuronyl-beta-1,4-xylose- beta disaccharide primer, which is further elongated by LARGE1, during synthesis of phosphorylated O-mannosyl glycan. Phosphorylated O-mannosyl glycan is a carbohydrate is a carbohydrate structure present in alpha-dystroglycan (DAG1), which is required for binding laminin G-like domain-containing extracellular proteins with high affinity. Required for  [...] 
kmeans	2	Brown	#ffaf65	29	BCAN	9606.ENSP00000331210	Brevican core protein; May play a role in the terminally differentiating and the adult nervous system during postnatal development. Could stabilize interactions between hyaluronan (HA) and brain proteoglycans; Belongs to the aggrecan/versican proteoglycan family.
kmeans	2	Brown	#ffaf65	29	CD200	9606.ENSP00000420298	OX-2 membrane glycoprotein; Costimulates T-cell proliferation. May regulate myeloid cell activity in a variety of tissues.
kmeans	2	Brown	#ffaf65	29	CDON	9606.ENSP00000376458	Cell adhesion molecule-related/down-regulated by oncogenes; Component of a cell-surface receptor complex that mediates cell-cell interactions between muscle precursor cells. Promotes differentiation of myogenic cells (By similarity).
kmeans	2	Brown	#ffaf65	29	CNTN5	9606.ENSP00000435637	Contactin-5; Contactins mediate cell surface interactions during nervous system development. Has some neurite outgrowth-promoting activity in the cerebral cortical neurons but not in hippocampal neurons. Probably involved in neuronal activity in the auditory system (By similarity).
kmeans	2	Brown	#ffaf65	29	DAG1	9606.ENSP00000442600	Alpha-dystroglycan; The dystroglycan complex is involved in a number of processes including laminin and basement membrane assembly, sarcolemmal stability, cell survival, peripheral nerve myelination, nodal structure, cell migration, and epithelial polarization. Beta-dystroglycan is a transmembrane protein that plays important roles in connecting the extracellular matrix to the cytoskeleton. Acts as a cell adhesion receptor in both muscle and non- muscle tissues. Receptor for both DMD and UTRN and, through these interactions, scaffolds axin to the cytoskeleton. Also functions in cell ad [...] 
kmeans	2	Brown	#ffaf65	29	FXYD5	9606.ENSP00000444839	FXYD domain-containing ion transport regulator 5; Involved in down-regulation of E-cadherin which results in reduced cell adhesion. Promotes metastasis. Belongs to the FXYD family.
